Country,Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Middle East & North Africa,MEA,23.82909012,24.65327072,26.26667976,28.21046066,28.82560921,30.74761963,31.47789955,33.9407692,35.65372849,38.27677917,39.82472992,40.65113068,40.84899139,31.86314726
Mexico,MEX,23.41172028,23.8696804,24.34877014,24.90479088,25.32290077,26.2970295,27.19712067,28.51312065,29.46159935,30.2297802,30.79431915,36.85073853,38.17892075,27.60013088
Marshall Islands,MHL,,,,,,,,42.86175156,,,,,,42.86175156
Middle income,MIC,19.20692062,20.18785095,21.29338074,22.53120041,23.64073944,24.96219063,26.9570694,28.48443031,29.57653046,32.59500885,34.05250168,35.03541183,35.58620071,26.54360294
North Macedonia,MKD,29.21603966,28.66880035,34.6360817,39.21878815,39.29557037,37.47996902,,39.00333023,37.77843857,38.32870102,41.14387131,,,36.47695904
Mali,MLI,,,,5.381400108,5.93377018,6.119729996,5.474969864,7.0458498,6.412529945,5.955659866,5.489900112,,,5.976726234
Malta,MLT,32.28355026,30.54224014,33.41621017,32.15753174,35.17737961,37.05223083,39.77775955,42.60675049,44.20927048,44.68619919,47.42187119,48.83670044,,39.01397451
Myanmar,MMR,,,10.80006981,,,,14.54730988,13.88675022,,,,,15.96401024,13.0780433
Middle East & North Africa (excluding high income),MNA,23.10152054,23.95181084,25.69478035,27.89599991,28.46554947,30.18478012,30.57582092,32.79827881,34.25014877,36.63262177,38.07223129,38.46479034,38.65961838,30.84069443
Montenegro,MNE,22.12154961,25.90391922,33.29421997,41.04066849,49.22497177,52.23329926,,,,,,56.87546158,58.23574829,40.0991557
Mongolia,MNG,44.65618134,47.53358841,46.95259857,48.48419952,51.46495056,53.814991,55.67971039,58.69705963,62.20479965,64.25296783,68.55863953,64.56282043,64.83714294,55.57187557
Mozambique,MOZ,1.425330043,2.133549929,3.060820103,3.542320013,3.830339909,4.578110218,4.839039803,5.100949764,5.449570179,6.045770168,6.474190235,7.043900013,6.936240196,4.460324198
Mauritania,MRT,2.922590017,3.297480106,3.728669882,3.802520037,3.862319946,4.368589878,4.72852993,5.092899799,5.334819794,,5.467450142,5.195660114,4.842370033,4.345593604
Mauritius,MUS,21.35362053,23.5989399,24.6364193,27.31788063,32.1644783,33.69147873,35.39455032,38.90449142,40.04367828,39.12593842,37.41527939,,38.84378052,32.14970502
Malawi,MWI,0.469410002,0.485659987,0.475849986,,,0.675109982,0.774919987,,,,,,,0.576189989
Malaysia,MYS,27.96216011,28.51358032,30.1826992,33.69655991,35.79298019,37.31967926,35.7051506,36.32756042,36.97964859,36.8667717,42.37377167,44.11669159,41.9299202,35.4864378
North America,NAC,80.50701141,81.12477875,81.76828766,82.96859741,85.27989197,89.67915344,91.0391922,90.42984772,86.51441193,86.42044067,86.55825043,86.67479706,86.67481995,85.74705505
Namibia,NAM,6.880430222,6.560750008,,9.32614994,,,,,,18.59045029,19.30517006,20.63765907,,13.5501016
Niger,NER,1.077160001,1.090010047,1.014729977,1.150939941,1.385239959,1.43374002,1.488170028,1.687870026,,,3.547800064,,4.01831007,1.541740007
Nigeria,NGA,10.48404026,,,,,9.566579819,10.16895962,,,,,,,10.07319323
